date,perc_oggi,ospedalizzati_oggi,Temperatura_media,Umidità_media
2020-11-23,19.56,9276.0,4.020833333333334,78.44821428571429
2020-11-24,18.655714285714286,9292.0,5.329648033126294,77.59353002070394
2020-11-25,17.55142857142857,9056.0,4.024182194616977,84.60346790890269
2020-11-26,16.56,8930.0,3.2900000000000005,89.42440476190477
2020-11-27,15.322857142857142,8794.0,2.8752380952380956,93.83333333333333
2020-11-28,14.235714285714286,8535.0,5.014402590823564,89.52746417716023
2020-11-29,13.402857142857142,8307.0,6.704285714285715,87.37440476190476
2020-11-30,12.727142857142855,8339.0,4.802545045045045,80.36856499356499
2020-12-01,12.14,8218.0,4.656207482993197,79.73639455782313
2020-12-02,11.73857142857143,8077.0,1.5446428571428572,94.09821428571429
2020-12-03,11.375714285714285,7861.0,1.9438424518743667,95.65387537993921
2020-12-04,11.025714285714287,7614.0,3.648928571428571,92.95833333333333
